Name,Dominant Discipline,Alcohol Sales,Location,loacation,Address
Landmark Guild 45th,Cinema,,47.66112015,-122.3330128,2115 N 45th St Seattle WA 98103
Brace Point Pottery,Visual,,47.513939,-122.38636,4208 SW 100th St Seattle WA 98146
Emerald City Guitars,Service/Supply,,47.600886,-122.334547,83 S Washington St Seattle WA 98104
Lo-Fi Performance Gallery,Performance,,47.6229209,-122.3293344,429 Eastlake Ave E Seattle WA 98109
12th Ave Arts,Performance,Y,47.615572,-122.316789,1620 12th Ave #101
Flying House Productions,Music,N,47.60502955,-122.3171573,319 12th Ave Seattle WA 98122
Triple Door Theater and Musicquarium Lounge,Music,Y,47.6086439,-122.337685,216 Union St Seattle WA 98101
Northwest Encaustic,Arts/Cultural Training or Education,N,47.539026,-122.388536,7150 44th Ave SW Seattle WA 98136
OutWest,Music,,47.553764,-122.387314,5401 California Ave SW Seattle WA 98136
Glassbox,Visual,,47.595059,-122.326235,831 Seattle Blvd S Seattle WA 98134
Bad Animals,Studios,,47.6151383,-122.342923,2212 4th Ave Seattle WA 98121
De Cajon Project,Performance,,,,
Georgetown Trailer Park Mall,Visual,N,47.55059151,-122.3183935,5805 Airport Way S Seattle WA 98108
Gallery IMA,,,47.598928,-122.333157,123 S Jackson St
El Centro de la Raza,Community Center,N,47.5803398,-122.3112978,2524 16th Ave S Seattle WA 98144
Master Works,Service/Supply,,47.64052875,-122.3758254,2264 15th Ave W Seattle WA 98119
5th Avenue Theatre,Performance,Y,47.6091749,-122.3339671,1308 5th Ave Seattle WA 98101
Washington Park Arboretum and Madison Park Graham Visitors Center,Community Center,,47.638016,-122.294137,2300 Arboretum Drive E Seattle WA 98112
Erickson Theater,Performance,N,47.6148138,-122.3217378,1524 Harvard Ave Seattle WA 98122
ArtsFund,Arts/Cultural Administration or Advocacy,N,47.61819595,-122.3362331,10 Harrison St Suite 200 Seattle WA 98109
JCCCW Japanese Cultural & Community Center of WA,Community Center,,47.597744,-122.312012,1414 S Weller St Seattle WA 98144
Brass Tacks,Music,,47.548977,-122.31663,6031 Airport Way S Seattle WA 98108
Nu Black Arts West Theatre,Arts/Cultural Training or Education,,47.594673,-122.309662,843 Hiawatha Pl. S Suite #305 Seattle WA 98144
ZINC Contemporary,,,47.60119,-122.3296,119 Prefontaine Place S
Magnolia Community Center,Community Center,,47.644508,-122.399582,2550 34th Ave W Seattle WA 98199
Seattle Public Library High Point,Literary,Y,47.54807515,-122.3758471,3411 S.W. Raymond St Seattle WA 98126
Fountainhead Gallery,Visual,Y,47.6394417,-122.3660888,625 W McGraw St Seattle WA 98119
Pacific Northwest Ballet,Studios,N,47.623844,-122.349586,301 Mercer Street Seattle WA 98109
